index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,Age_Upon_Intake(days),Age_Upon_Intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter
108991,A863031,2022-08-03 16:28:00,Aug-22,13013 Thome Valley Drive in Travis (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Black,31,0.08,"(-0.001, 2.5]",8,2022,Wednesday,16,1,1,Mix,N,Female,35 days 08:06:47.648944,35
143518,A862912,2022-08-02 11:15:00,Aug-22,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Brown Tabby/White,3650,10,"(7.5, 10.0]",8,2022,Tuesday,11,1,1,Mix,N,Female,36 days 13:19:47.648944,36
85839,A863095,2022-08-04 14:33:00,Aug-22,19406 Blake Manor Road in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Black/Brown,365,1,"(-0.001, 2.5]",8,2022,Thursday,14,1,1,Purebreed,N,Male,34 days 10:01:47.648944,34
143639,A863111,2022-08-04 16:47:00,Aug-22,Barton Creek in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby/White,365,1,"(-0.001, 2.5]",8,2022,Thursday,16,1,1,Purebreed,N,Male,34 days 07:47:47.648944,34
51975,A863092,2022-08-04 14:06:00,Aug-22,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Medium Hair,Brown Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Thursday,14,1,1,Purebreed,N,Female,34 days 10:28:47.648944,34
49719,A863093,2022-08-04 14:06:00,Aug-22,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Thursday,14,1,1,Purebreed,N,Female,34 days 10:28:47.648944,34
92579,A863094,2022-08-04 14:06:00,Aug-22,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Thursday,14,1,1,Purebreed,N,Female,34 days 10:28:47.648944,34
81932,A863157,2022-08-05 11:38:00,Aug-22,Holly St And Lynn St in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Friday,11,1,1,Mix,N,Male,33 days 12:56:47.648944,33
62612,A863158,2022-08-05 11:48:00,Aug-22,Ida Ridge Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White/Black,730,2,"(-0.001, 2.5]",8,2022,Friday,11,1,1,Mix,Y,Female,33 days 12:46:47.648944,33
16533,A863115,2022-08-04 17:26:00,Aug-22,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Blue Tabby/White,31,0.08,"(-0.001, 2.5]",8,2022,Thursday,17,1,1,Purebreed,N,Female,34 days 07:08:47.648944,34
109024,A863116,2022-08-04 18:03:00,Aug-22,908 Cougar Cove in Austin (TX),Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White,31,0.08,"(-0.001, 2.5]",8,2022,Thursday,18,1,1,Purebreed,N,Male,34 days 06:31:47.648944,34
12730,A863218,2022-08-06 13:58:00,Aug-22,5501 Ross Rd in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White,730,2,"(-0.001, 2.5]",8,2022,Saturday,13,1,1,Mix,Y,Male,32 days 10:36:47.648944,32
