index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,age_upon_intake(days),age_upon_intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,main_breed_intake,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter,zipcode_intake,longitude_intake,latitude_intake
143578,A802591,2022-08-29 16:06:00,August 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Boxer,Tan/White,1095,3,"(2.5, 5.0]",8,2022,Monday,16,2,2,Purebred,Boxer,N,Female,22 days 03:34:25.734475,22,,,
115588,A801778,2022-06-29 11:05:00,June 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,American Pit Bull Terrier,Chocolate/White,1460,4,"(2.5, 5.0]",6,2022,Wednesday,11,3,3,Purebred,American Pit Bull Terrier,Y,Female,83 days 08:35:25.734475,83,,,
105732,A806429,2022-08-18 13:53:00,August 2022,1700 Teri Rd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Boxer,Brown Brindle/White,1460,4,"(2.5, 5.0]",8,2022,Thursday,13,3,3,Purebred,Boxer,N,Male,33 days 05:47:25.734475,33,,,
110397,A804219,2022-04-29 16:43:00,April 2022,204 W Parsons in Manor (TX),Public Assist,Injured,Dog,Intact Male,3 years,Pit Bull,Brown/White,1095,3,"(2.5, 5.0]",4,2022,Friday,16,2,2,Purebred,Pit Bull,Y,Male,144 days 02:57:25.734475,144,,,
143762,A809273,2022-08-29 11:09:00,August 2022,Loyola And Bryn Mawr in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Mastiff,White/Brown Brindle,1460,4,"(2.5, 5.0]",8,2022,Monday,11,3,3,Purebred,Mastiff,N,Male,22 days 08:31:25.734475,22,,,
143662,A809170,2022-08-30 16:07:00,August 2022,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Australian Cattle Dog Mix,White/Black,1095,3,"(2.5, 5.0]",8,2022,Tuesday,16,2,2,Mix,Australian Cattle Dog,N,Female,21 days 03:33:25.734475,21,,,
35801,A809594,2022-08-22 11:26:00,August 2022,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Labrador Retriever,Black,1095,3,"(2.5, 5.0]",8,2022,Monday,11,2,2,Purebred,Labrador Retriever,N,Female,29 days 08:14:25.734475,29,,,
75709,A810081,2020-01-21 12:36:00,January 2020,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull,Tan/White,365,1,"(-0.001, 2.5]",1,2020,Tuesday,12,2,2,Purebred,Pit Bull,Y,Female,973 days 06:04:25.734475,973,,,
115379,A811989,2022-02-01 10:54:00,February 2022,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 years,Catahoula/Boxer,Brown Brindle/White,1825,5,"(2.5, 5.0]",2,2022,Tuesday,10,2,2,Purebred,Catahoula,N,Female,231 days 07:46:25.734475,231,,,
87873,A812875,2022-01-04 11:15:00,January 2022,8214 East Riverside in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pit Bull,Brown/White,1460,4,"(2.5, 5.0]",1,2022,Tuesday,11,4,4,Purebred,Pit Bull,Y,Female,259 days 07:25:25.734475,259,,,
