index_id_intake,animal_id_intake,breed_category,breed_consolidated,breed_group,breed_contains_pitbull,color_consolidated,intake_type,intake_condition,sex_upon_intake_subtype,age_intake(days),age_intake(years),age_range_intake,intake_date,intake_month,intake_day1,intake_year,intake_numeric_weekday,intake_hour,outcome_date,outcome_month,outcome_day,outcome_year,outcome_weekday,age_outcome(days),age_upon_outcome(years),age_range_outcome,days_in_shelter,outcome,zipcode,population,population_density,land_area_in_sqmi,housing_units,median_household_income,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
34831,A597037,Purebred,working,working,Y,Black/Other,Stray,Normal,Female,1460,4,"(2.5, 5.0]",2/1/2015,2,1,2015,6,9,2/10/2015,2,10,2015,Tuesday,1705,4.67,"(2.5, 5.0]",9,Success,78724,21696,889,24.4,6138,38479,11181,10515,4341,5270,683,915,245,18,71,8339,6167,239,100,6,6165,680
87707,A597754,Purebred,pointer,sporting,N,Red/Other,Stray,Normal,Female,1825,5,"(2.5, 5.0]",6/15/2015,6,15,2015,0,13,8/13/2015,8,13,2015,Thursday,2157,5.91,"(5.0, 7.5]",59,Success,78748,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
74120,A598657,Purebred,pit bull,terrier,Y,Black/White,Stray,Normal,Female,2920,8,"(7.5, 10.0]",12/10/2017,12,10,2017,6,10,1/31/2018,1,31,2018,Wednesday,3038,8.32,"(7.5, 10.0]",51,Success,78704,42117,4838,8.7,23575,50930,21261,20856,2025,9089,1546,11110,3834,1584,759,33444,1559,366,786,15,4472,1475
63869,A599068,Mix,working,working,N,Brown/White,Stray,Normal,Female,2555,7,"(5.0, 7.5]",11/22/2015,11,22,2015,6,11,12/5/2015,12,5,2015,Saturday,2778,7.61,"(7.5, 10.0]",13,Success,78748,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
25529,A600858,Mix,chihuahua ,toy,N,Brown/White,Owner Surrender,Normal,Male,2920,8,"(7.5, 10.0]",9/23/2019,9,23,2019,0,10,10/14/2019,10,14,2019,Monday,3288,9.01,"(7.5, 10.0]",21,Success,78749,34449,3421,10.07,14857,84907,16863,17586,608,7176,1572,9571,3755,725,633,27894,1129,186,2700,34,1442,1064
24192,A600948,Purebred,chihuahua ,toy,N,White/Other,Stray,Normal,Female,1460,4,"(2.5, 5.0]",2/2/2016,2,2,2016,1,18,2/6/2016,2,6,2016,Saturday,1741,4.77,"(2.5, 5.0]",3,Success,78744,42820,2001,21.4,13720,41721,21661,21159,8767,11387,1233,2478,664,201,35,22153,3663,802,401,50,14040,1711
14069,A602389,Purebred,Malinois/German Shepherd,working-herding,N,Other,Stray,Normal,Male,2555,7,"(5.0, 7.5]",1/5/2018,1,5,2018,4,14,12/18/2018,12,18,2018,Tuesday,3092,8.47,"(7.5, 10.0]",346,Success,78724,21696,889,24.4,6138,38479,11181,10515,4341,5270,683,915,245,18,71,8339,6167,239,100,6,6165,680
13017,A603708,Mix,pit bull,terrier,Y,White/Black or Brown,Owner Surrender,Normal,Female,2920,8,"(7.5, 10.0]",9/11/2017,9,11,2017,0,10,8/17/2019,8,17,2019,Saturday,3888,10.65,"(10.0, 12.5]",705,Success,78653,16375,156,104.97,5532,59763,8141,8234,1974,4831,778,1744,391,145,42,9143,3320,140,312,17,2782,661
137209,A603949,Purebred,chihuahua ,toy,N,White,Stray,Normal,Female,1095,3,"(2.5, 5.0]",2/4/2014,2,4,2014,1,13,2/23/2014,2,23,2014,Sunday,1333,3.65,"(2.5, 5.0]",18,Success,78729,27108,2939,9.23,13284,60690,13427,13681,744,8049,1212,5694,1919,402,158,20603,1836,183,2233,25,1209,1019
37009,A605052,Mix,retriever,sporting,N,Brown/White,Public Assist,Normal,Male,3285,9,"(7.5, 10.0]",12/4/2016,12,4,2016,6,8,12/24/2016,12,24,2016,Saturday,3463,9.49,"(7.5, 10.0]",20,Success,78749,34449,3421,10.07,14857,84907,16863,17586,608,7176,1572,9571,3755,725,633,27894,1129,186,2700,34,1442,1064
41091,A605804,Mix,herding,working-herding,N,White/Black or Brown,Public Assist,Normal,Female,1460,4,"(2.5, 5.0]",3/15/2015,3,15,2015,6,15,7/22/2014,7,22,2014,Tuesday,1408,3.86,"(2.5, 5.0]",-236,Success,78741,44935,5915,7.6,20500,30871,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
74959,A606646,Mix,nonsporting,nonsporting,N,Tan/White,Stray,Normal,Female,2190,6,"(5.0, 7.5]",2/7/2014,2,7,2014,4,14,6/3/2014,6,3,2014,Tuesday,2505,6.86,"(5.0, 7.5]",115,Success,78725,6083,346,17.57,1978,52381,2988,3095,1890,2481,120,597,127,0,15,2924,1838,96,55,13,970,187
125343,A607934,Mix,hound,hound,N,Red/Other,Stray,Normal,Male,4380,12,"(10.0, 12.5]",11/9/2021,11,9,2021,1,15,11/20/2021,11,20,2021,Saturday,4480,12.27,"(10.0, 12.5]",10,Success,78752,18064,5403,3.34,7944,34716,9778,8286,3976,4429,493,2095,807,88,120,10787,2124,334,333,10,3781,695
8321,A608349,Mix,terrier,terrier,N,White/Other,Stray,Normal,Female,2920,8,"(7.5, 10.0]",7/21/2015,7,21,2015,1,14,9/17/2015,9,17,2015,Thursday,3101,8.5,"(7.5, 10.0]",57,Success,78744,42820,2001,21.4,13720,41721,21661,21159,8767,11387,1233,2478,664,201,35,22153,3663,802,401,50,14040,1711
130165,A608875,Purebred,pit bull,terrier,Y,Other,Stray,Normal,Male,2190,6,"(5.0, 7.5]",7/21/2016,7,21,2016,3,16,9/9/2016,9,9,2016,Friday,2294,6.28,"(5.0, 7.5]",49,Success,78751,14385,6001,2.4,8375,39032,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
19827,A612291,Mix,herding,working-herding,N,Other,Owner Surrender,Normal,Female,2190,6,"(5.0, 7.5]",11/8/2013,11,8,2013,4,14,12/28/2013,12,28,2013,Saturday,2264,6.2,"(5.0, 7.5]",50,Success,78745,55614,4166,13.35,25749,50672,27813,27801,5393,18935,2426,10258,3204,587,359,40450,2596,601,1133,32,8730,2072
85587,A614362,Mix,chihuahua ,toy,N,Black/Other,Stray,Normal,Male,730,2,"(-0.001, 2.5]",12/7/2013,12,7,2013,5,11,12/16/2013,12,16,2013,Monday,858,2.35,"(-0.001, 2.5]",9,Success,78702,21334,4268,5,9032,36197,10887,10447,4304,5391,323,3205,1002,178,174,11323,3715,334,228,5,4985,744
69631,A619052,Mix,toy,toy,N,Brown,Public Assist,Normal,Male,2555,7,"(5.0, 7.5]",1/2/2019,1,2,2019,2,14,1/14/2019,1,14,2019,Monday,2912,7.98,"(7.5, 10.0]",12,Success,78751,14385,6001,2.4,8375,39032,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
135729,A619493,Purebred,hound,hound,N,Brown/Other,Stray,Normal,Male,2920,8,"(7.5, 10.0]",1/4/2014,1,4,2014,5,14,1/9/2014,1,9,2014,Thursday,3259,8.93,"(7.5, 10.0]",5,Success,78723,28330,4083,6.94,12398,42939,14569,13761,4418,7673,785,4098,1605,324,315,13892,6979,327,532,19,5472,1109
92155,A619636,Mix,guardian,working,N,White/Black or Brown,Stray,Normal,Male,1095,3,"(2.5, 5.0]",11/21/2014,11,21,2014,4,12,11/29/2014,11,29,2014,Saturday,1305,3.58,"(2.5, 5.0]",8,Success,78751,14385,6001,2.4,8375,39032,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
